id_frase,archivo,intencion,texto,hablante,duracion_s
f0000,f0000.wav,MEDICATION_HEALTH,Oye mijito ¿ya me toca tomar la pastillita del corazón?,manuel,5.82
f0001,f0001.wav,MEDICATION_HEALTH,¿A qué hora me corresponde el jarabe que me recetó el doctor Salazar?,manuel,4.38
f0002,f0002.wav,MEDICATION_HEALTH,Tengo un dolorcito en la rodilla desde ayer ¿será que me tomo el ibuprofeno?,manuel,4.2
f0003,f0003.wav,FAMILY_COMMUNICATION,Quiero mandarle un mensajito a mi hijo Carlos que está en Quito,manuel,3.9
f0004,f0004.wav,FAMILY_COMMUNICATION,¿Puedes avisarle a mi hija María que ya tomé las pastillas del mediodía?,manuel,4.08
f0005,f0005.wav,FAMILY_COMMUNICATION,Dile a mi nieto Sebastián que lo extraño mucho y que venga a visitarme,manuel,4.5
f0006,f0006.wav,EMERGENCY,Me caí en el baño y no me puedo levantar ayúdame por favor,manuel,4.38
f0007,f0007.wav,EMERGENCY,Siento que me falta el aire y me está doliendo el pecho muy fuerte,manuel,3.48
f0008,f0008.wav,EMERGENCY,Hay un humo raro saliendo de la cocina y no sé qué está pasando,manuel,4.32
f0009,f0009.wav,SMALL_TALK,Buenos días mijito ¿cómo amaneciste hoy?,manuel,2.88
f0010,f0010.wav,SMALL_TALK,¿Sabes que ayer vino a visitarme mi nieto? Qué alegría tan grande,manuel,3.96
f0011,f0011.wav,SMALL_TALK,Hace un frío horrible ahorita ¿no te parece?,manuel,2.76
f0012,f0012.wav,MEDICATION_HEALTH,Verá que no recuerdo si la pastilla de la presión es a las siete o a las ocho,manuel,5.1
f0013,f0013.wav,MEDICATION_HEALTH,¿El medicamento del estómago es antes o después del almuerzo?,manuel,3.36
f0014,f0014.wav,MEDICATION_HEALTH,¿Cuándo me corresponde tomar la siguiente dosis del antibiótico?,manuel,4.26
f0015,f0015.wav,MEDICATION_HEALTH,A ver dime ¿cada cuánto debo tomarme estas cápsulas que me dio el doctor?,manuel,4.32
f0016,f0016.wav,MEDICATION_HEALTH,No sé si el jarabe es de mañana o de noche ¿cuándo es?,manuel,4.02
f0017,f0017.wav,MEDICATION_HEALTH,¿Las pastillas del colesterol van con el desayuno o sin él?,manuel,3.78
f0018,f0018.wav,MEDICATION_HEALTH,Dime a qué hora es mi próxima medicación por favor,manuel,2.7
f0019,f0019.wav,MEDICATION_HEALTH,¿El omeprazol se toma antes de comer o después? siempre me olvido,manuel,3.66
f0020,f0020.wav,MEDICATION_HEALTH,¿Cuántas horas debo esperar entre una pastilla y la siguiente?,manuel,3.6
