intent,text
MEDICATION_HEALTH,Oye mijito ¿ya me toca tomar la pastillita del corazón?
MEDICATION_HEALTH,¿A qué hora me corresponde el jarabe que me recetó el doctor Salazar?
MEDICATION_HEALTH,Tengo un dolorcito en la rodilla desde ayer ¿será que me tomo el ibuprofeno?
FAMILY_COMMUNICATION,Quiero mandarle un mensajito a mi hijo Carlos que está en Quito
FAMILY_COMMUNICATION,¿Puedes avisarle a mi hija María que ya tomé las pastillas del mediodía?
FAMILY_COMMUNICATION,Dile a mi nieto Sebastián que lo extraño mucho y que venga a visitarme
EMERGENCY,Me caí en el baño y no me puedo levantar ayúdame por favor
EMERGENCY,Siento que me falta el aire y me está doliendo el pecho muy fuerte
EMERGENCY,Hay un humo raro saliendo de la cocina y no sé qué está pasando
SMALL_TALK,Buenos días mijito ¿cómo amaneciste hoy?
SMALL_TALK,¿Sabes que ayer vino a visitarme mi nieto? Qué alegría tan grande
SMALL_TALK,Hace un frío horrible ahorita ¿no te parece?
MEDICATION_HEALTH,Verá que no recuerdo si la pastilla de la presión es a las siete o a las ocho
MEDICATION_HEALTH,¿El medicamento del estómago es antes o después del almuerzo?
MEDICATION_HEALTH,¿Cuándo me corresponde tomar la siguiente dosis del antibiótico?
MEDICATION_HEALTH,A ver dime ¿cada cuánto debo tomarme estas cápsulas que me dio el doctor?
MEDICATION_HEALTH,No sé si el jarabe es de mañana o de noche ¿cuándo es?
MEDICATION_HEALTH,¿Las pastillas del colesterol van con el desayuno o sin él?
MEDICATION_HEALTH,Dime a qué hora es mi próxima medicación por favor
MEDICATION_HEALTH,¿El omeprazol se toma antes de comer o después? siempre me olvido
MEDICATION_HEALTH,¿Cuántas horas debo esperar entre una pastilla y la siguiente?
MEDICATION_HEALTH,¿Cuál es el horario exacto del segundo medicamento del día?
MEDICATION_HEALTH,Ya tomé las pastillas del desayuno ¿anota eso por favor?
MEDICATION_HEALTH,Me tomé el medicamento ahorita mismo ¿quedó registrado?
MEDICATION_HEALTH,Ya bebí el jarabe de las doce ¿está bien así?
MEDICATION_HEALTH,Listo ya me tomé todo lo que me tocaba esta mañana
MEDICATION_HEALTH,Registra que ya tomé las tres pastillas del almuerzo por favor
MEDICATION_HEALTH,Me acabo de tomar la insulina ¿lo anotas?
MEDICATION_HEALTH,Ya cumplí con todas las medicinas de la tarde
